date,shift,line,planned_output,actual_output,defect_qty,downtime_min,downtime_reason,operator,source_system
2026-01-12,C,Line1,1189,1181,19,0,No Downtime,Operator A,Legacy Excel Log
2026-02-22,B,Line3,1098,1058,21,83,Material Shortage,Operator C,Manual CSV Upload
2026-03-12,A,Line2,871,865,12,0,No Downtime,Operator E,Legacy Excel Log
2026-01-26,B,Line2,940,851,22,104,Equipment Failure,Operator E,Google Form
2026-01-16,C,Line1,907,907,20,59,Equipment Failure,Operator E,Legacy Excel Log
2026-04-28,A,Line2,1019,1038,30,0,No Downtime,Operator E,Legacy Excel Log
2026-03-23,A,Line3,1127,971,16,0,No Downtime,Operator D,Manual CSV Upload
2026-03-10,C,Line1,940,899,7,54,Cleaning,Operator D,Google Form
2026-03-12,C,Line1,921,914,7,0,No Downtime,Operator E,Manual CSV Upload
2026-04-01,B,Line1,964,916,10,0,No Downtime,Operator B,Manual CSV Upload
2026-03-01,A,Line3,922,878,21,54,Cleaning,Operator C,Manual CSV Upload
2026-02-05,C,Line4,967,838,11,52,Material Shortage,Operator E,Manual CSV Upload
2026-01-23,C,Line3,944,965,6,70,Changeover,Operator C,Legacy Excel Log
2026-03-12,C,Line3,1189,1028,1113,0,No Downtime,Operator D,Google Form
2026-03-09,B,Line3,992,873,4,31,Quality Issue,Operator D,Google Form
2026-04-17,A,Line4,817,698,1,0,No Downtime,Operator B,Legacy Excel Log
2026-03-24,B,Line1,803,783,4,37,Quality Issue,Operator D,Google Form
2026-02-21,B,Line4,1023,1018,25,36,Equipment Failure,Operator D,Google Form
2026-03-26,A,Line3,808,744,1,28,Material Shortage,Operator E,Legacy Excel Log
2026-01-07,C,Line3,957,883,6,25,Equipment Failure,Operator E,Google Form
2026-04-20,B,Line2,881,892,24,0,No Downtime,Operator B,Google Form
2026-02-15,A,Line4,1126,1163,3,110,Equipment Failure,Operator C,Google Form
2026-02-03,A,Line4,1050,1002,21,61,Material Shortage,Operator B,Legacy Excel Log
2026-03-14,B,Line4,996,917,5,46,Cleaning,Operator D,Legacy Excel Log
2026-01-27,B,Line4,860,857,5,73,Changeover,Operator D,Google Form
2026-01-20,C,Line4,-161,833,1,42,Cleaning,Operator C,Manual CSV Upload
2026-03-24,C,Line3,1147,1072,15,0,No Downtime,Operator D,Legacy Excel Log
2026-02-18,B,Line1,949,907,25,100,Changeover,Operator B,Google Form
2026-04-24,B,Line4,1164,1154,24,61,Material Shortage,Operator E,Google Form
2026-03-28,A,Line4,992,1011,22,82,Material Shortage,Operator B,Manual CSV Upload
2026-01-30,A,Line2,825,718,1,37,Material Shortage,Operator E,Legacy Excel Log
2026-02-07,A,Line2,1007,982,5,35,Cleaning,Operator A,Legacy Excel Log
2026-04-10,C,Line3,951,858,1,0,No Downtime,Operator A,Manual CSV Upload
2026-01-18,A,Line1,1146,1006,16,108,Equipment Failure,Operator B,Manual CSV Upload
2026-02-26,B,Line3,812,815,4,71,Material Shortage,Operator E,Google Form
2026-02-19,B,Line2,1196,1239,22,41,Cleaning,Operator E,Legacy Excel Log
2026-03-17,B,Line1,901,914,10,20,Quality Issue,Operator E,Legacy Excel Log
2026-03-18,A,Line1,994,853,4,39,Changeover,Operator B,Google Form
